PROTID	m.ID	concat.id	KO.1	KO.GENE.1	DESCRIPTION.1	KO.EC.1	SCORE.KO.1	KO.2	KO.GENE.2	DESCRIPTION.2	SCORE.KO.2		KO.ALL	MET.PATH.1	MET.PATH.2	UNIPROT.ID	UNIPROT.DESC	Ca_BIND	GO.ONTOLOGY	BP.GO.ONTOLOGY
lcl|c212826_g7_i3|m.2865	m.2865	 ATP-dependent Lon protease  [PRSS15] (m.2865)	K08675	PRSS15	 ATP-dependent Lon protease 	[EC:3.4.21.53]	105						K08675							
lcl|c212839_g1_i3|m.2877	m.2877	 20S proteasome subunit alpha 6  [PSMA1] (m.2877)	K02725	PSMA1	 20S proteasome subunit alpha 6 	[EC:3.4.25.1]	252						K02725	"Proteasome, Alzheimer disease, Parkinson disease, Amyotrophic lateral sclerosis, Huntington disease, Spinocerebellar ataxia"		A0A3M6UX03	Proteasome subunit alpha type (EC 3.4.25.1)		"cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome core complex, alpha-subunit complex [GO:0019773]; threonine-type endopeptidase activity [GO:0004298]; ubiquitin-dependent protein catabolic process [GO:0006511]"	ubiquitin-dependent protein catabolic process [GO:0006511]
lcl|c212912_g1_i1|m.2890	m.2890	 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 8 [NDUFB8] (m.2890)	K03964	NDUFB8	 NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 8		72						K03964	"Oxidative phosphorylation, Thermogenesis, Retrograde endocannabinoid signaling, Metabolic pathways, Non-alcoholic fatty liver disease, Alzheimer disease, Parkinson disease, Amyotrophic lateral sclerosis, Huntington disease"		A0A2B4S6G0	"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial"		mitochondrion [GO:0005739]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]	
lcl|c212933_g3_i1|m.2898	m.2898	 [PUA domain protein] (m.2898)	K07575	PUA domain protein			127						K07575			A0A2B4S2C5	Malignant T-cell-amplified sequence 1		cytoplasm [GO:0005737]; RNA binding [GO:0003723]	
lcl|c212937_g3_i2|m.2900	m.2900	 vacuolar protein sorting-associated protein 29 [VPS29] (m.2900)	K18467	VPS29	 vacuolar protein sorting-associated protein 29		161						K18467	Endocytosis		A0A3M6UJ96	Vacuolar protein sorting-associated protein 29 (Vesicle protein sorting 29)		"cytosol [GO:0005829]; retromer complex [GO:0030904]; protein transport [GO:0015031]; retrograde transport, endosome to Golgi [GO:0042147]"	"protein transport [GO:0015031]; retrograde transport, endosome to Golgi [GO:0042147]"
lcl|c212961_g1_i2|m.2910	m.2910	* [] (m.2910)		ABHD5	 abhydrolase domain-containing protein 5 	[EC:2.3.1.51]	174	K13698			19		K13699			A0A2B4SSG7	Abhydrolase domain-containing protein 4		hydrolase activity [GO:0016787]	
lcl|c212963_g1_i1|m.2911	m.2911	 Ras-related protein Rap-2B [RAP2B] (m.2911)	K07838	RAP2B	 Ras-related protein Rap-2B		105						K07838			A0A3M6TVZ0	Uncharacterized protein		membrane [GO:0016020]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; signal transduction [GO:0007165]	signal transduction [GO:0007165]
lcl|c213022_g4_i5|m.2921	m.2921	* [] (m.2921)					17	K06910			16		K06910			A0A3M6TB03	Uncharacterized protein (Fragment)			
lcl|c213072_g1_i1|m.2941	m.2941	Collagen triple helix repeat-containing protein 1* [] (m.2941)					57									A0A2B4SVU8	Collagen triple helix repeat-containing protein 1		collagen trimer [GO:0005581]	
lcl|c213117_g1_i3|m.2966	m.2966	Isochorismatase domain-containing protein* [] (m.2966)					108									A0A3M6V263	Isochorismatase domain-containing protein		catalytic activity [GO:0003824]	
lcl|c213120_g3_i6|m.2968	m.2968	 CCR4-NOT transcription complex subunit 10 [CNOT10] (m.2968)	K12607	CNOT10	 CCR4-NOT transcription complex subunit 10		52						K12607	RNA degradation		A0A2B4SVK1	CCR4-NOT transcription complex subunit 10		CCR4-NOT complex [GO:0030014]	
lcl|c213143_g1_i2|m.2979	m.2979	 aminodeoxyfutalosine synthase [EC:2.5.1.120]* [mqnE] (m.2979)					24	K18285	mqnE	 aminodeoxyfutalosine synthase [EC:2.5.1.120]	1		K18285		"Ubiquinone and other terpenoid-quinone biosynthesis, Biosynthesis of secondary metabolites"	A0A3M6UCR0	Uncharacterized protein			
lcl|c213147_g4_i1|m.2980	m.2980	 calmodulin [CALM] (m.2980)	K02183	CALM	 calmodulin		49						K02183	"Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, cGMP-PKG signaling pathway, cAMP signaling pathway, Cellular senescence, C-type lectin receptor signaling pathway, Dopaminergic synapse, Phototransduction, Melanogenesis, Gastric acid secretion, MAPK signaling pathway - plant, Phosphatidylinositol signaling system, Oocyte meiosis, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction, Apelin signaling pathway, Plant-pathogen interaction, Circadian entrainment, Long-term potentiation, Neurotrophin signaling pathway, Olfactory transduction, Phototransduction - fly, Inflammatory mediator regulation of TRP channels, Insulin signaling pathway, GnRH signaling pathway, Estrogen signaling pathway, Oxytocin signaling pathway, Glucagon signaling pathway, Renin secretion, Aldosterone synthesis and secretion, Salivary secretion, Alzheimer disease, Parkinson disease, Amphetamine addiction, Alcoholism, Pertussis, Tuberculosis, Human cytomegalovirus infection, Kaposi sarcoma-associated herpesvirus infection, Human immunodeficiency virus 1 infection, Pathways in cancer, Glioma, Fluid shear stress and atherosclerosis"		A0A2B4SCR9	Calmodulin	"CA_BIND 57..68;  /evidence=""ECO:0000256|PROSITE-ProRule:PRU00448"""	calcium ion binding [GO:0005509]	
lcl|c213160_g2_i5|m.2982	m.2982	 histone H2A [H2A] (m.2982)	K11251	H2A	 histone H2A		119						K11251	"Necroptosis, Alcoholism, Systemic lupus erythematosus"		A0A2B4RVM0	Histone H2A		nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]	
lcl|c213193_g1_i6|m.2987	m.2987	 INO80 complex subunit C [INO80C] (m.2987)	K11667	INO80C	 INO80 complex subunit C		83						K11667			A0A2B4RGA7	INO80 complex subunit C		Ino80 complex [GO:0031011]; chromatin remodeling [GO:0006338]	chromatin remodeling [GO:0006338]
lcl|c213238_g2_i1|m.2996	m.2996	 serine/threonine kinase 3 [STK3] (m.2996)	K04412	STK3	 serine/threonine kinase 3		343						K04412	"MAPK signaling pathway, Apoptosis - fly, Hippo signaling pathway, Hippo signaling pathway - fly, Hippo signaling pathway - multiple species"		A0A2B4RCL2	Serine/threonine-protein kinase 3		ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; signal transduction [GO:0007165]	signal transduction [GO:0007165]
lcl|c213259_g2_i1|m.3003	m.3003	* [] (m.3003)		BLOC1S5	 biogenesis of lysosome-related organelles complex 1 subunit 5		33	K23542			1		K20187			A0A3M6U9W3	Uncharacterized protein		BLOC-1 complex [GO:0031083]; transport vesicle [GO:0030133]	
lcl|c213262_g2_i4|m.3006	m.3006	protein folding [GO:0006457]** [] (m.3006)					64									A0A3M6V1X2	Uncharacterized protein		protein folding [GO:0006457]	protein folding [GO:0006457]
lcl|c213278_g3_i2|m.3010	m.3010	 26S proteasome regulatory subunit N8 [PSMD7] (m.3010)	K03038	PSMD7	 26S proteasome regulatory subunit N8		231						K03038	"Proteasome, Epstein-Barr virus infection, Alzheimer disease, Parkinson disease, Amyotrophic lateral sclerosis, Huntington disease, Spinocerebellar ataxia"		A0A2B4S6K6	26S proteasome non-ATPase regulatory subunit 7		proteasome regulatory particle [GO:0005838]	
lcl|c213306_g2_i1|m.3016	m.3016	 adenine phosphoribosyltransferase  [APRT] (m.3016)	K00759	APRT	 adenine phosphoribosyltransferase 	[EC:2.4.2.7]	84						K00759	"Purine metabolism, Metabolic pathways"		A0A3M6V2Q4	Pribosyltran domain-containing protein		cytoplasm [GO:0005737]; adenine phosphoribosyltransferase activity [GO:0003999]; adenine salvage [GO:0006168]; nucleoside metabolic process [GO:0009116]	adenine salvage [GO:0006168]; nucleoside metabolic process [GO:0009116]
lcl|c213311_g2_i3|m.3020	m.3020	 carnitine O-acetyltransferase  [CRAT] (m.3020)	K00624	CRAT	 carnitine O-acetyltransferase 	[EC:2.3.1.7]	370						K00624	Peroxisome						
lcl|c213314_g8_i4|m.3021	m.3021	 T-complex protein 1 subunit beta [CCT2] (m.3021)	K09494	CCT2	 T-complex protein 1 subunit beta		403						K09494			A0A2B4SR13	T-complex protein 1 subunit beta		chaperonin-containing T-complex [GO:0005832]; ATP binding [GO:0005524]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]	protein folding [GO:0006457]
lcl|c213347_g2_i2|m.3043	m.3043	* [] (m.3043)					69	K23928			4		K23908			A0A3M6T6W3	Uncharacterized protein (Fragment)	"CA_BIND 66..77;  /evidence=""ECO:0000256|PROSITE-ProRule:PRU00448""; CA_BIND 111..122;  /evidence=""ECO:0000256|PROSITE-ProRule:PRU00448""; CA_BIND 159..170;  /evidence=""ECO:0000256|PROSITE-ProRule:PRU00448""; CA_BIND 203..214;  /evidence=""ECO:0000256|PROSITE-ProRule:PRU00448""; CA_BIND 248..259;  /evidence=""ECO:0000256|PROSITE-ProRule:PRU00448""; CA_BIND 293..304;  /evidence=""ECO:0000256|PROSITE-ProRule:PRU00448"""	calcium ion binding [GO:0005509]	
lcl|c213349_g5_i5|m.3048	m.3048	 golgi SNAP receptor complex member 2 [GOSR2] (m.3048)	K08496	GOSR2	 golgi SNAP receptor complex member 2		127						K08496	SNARE interactions in vesicular transport		A0A2B4SAK6	Golgi SNAP receptor complex member 2		Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; SNAP receptor activity [GO:0005484]; protein transport [GO:0015031]; vesicle-mediated transport [GO:0016192]	protein transport [GO:0015031]; vesicle-mediated transport [GO:0016192]
lcl|c213355_g3_i1|m.3053	m.3053	Mesoderm induction early response protein 1* [] (m.3053)					134									A0A2B4STC8	Mesoderm induction early response protein 1		"nucleus [GO:0005634]; transcriptional repressor complex [GO:0017053]; DNA binding [GO:0003677]; histone deacetylase binding [GO:0042826]; regulation of transcription, DNA-templated [GO:0006355]"	"regulation of transcription, DNA-templated [GO:0006355]"
lcl|c213419_g4_i1|m.3080	m.3080	 single-stranded-DNA-specific exonuclease [EC:3.1.-.-]* [recJ] (m.3080)					41	K07462	recJ	 single-stranded-DNA-specific exonuclease [EC:3.1.-.-]	1		K07462		"Base excision repair, Mismatch repair, Homologous recombination"	A7T3E2	Predicted protein			
lcl|c213463_g12_i1|m.3089	m.3089	 deleted in malignant brain tumors 1 protein* [DMBT1] (m.3089)					24	K13912	DMBT1	 deleted in malignant brain tumors 1 protein	3		K13912		Salivary secretion	A0A2B4R3M9	Deleted in malignant brain tumors 1 protein		membrane [GO:0016020]; calcium ion binding [GO:0005509]; scavenger receptor activity [GO:0005044]	
lcl|c213465_g6_i10|m.3092	m.3092	* [] (m.3092)					108													
lcl|c213496_g2_i3|m.3109	m.3109	* [] (m.3109)					67													
lcl|c213534_g3_i4|m.3118	m.3118	* [] (m.3118)		RTN1	 reticulon-1		18	K20720			12		K20721			A0A3M6T5K4	Reticulon-like protein		endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	
lcl|c213576_g12_i2|m.3138	m.3138	* [] (m.3138)		SLC5A6	" solute carrier family 5 (sodium-dependent multivitamin transporter), member 6"		307	K14388			38		K14386							
lcl|c213630_g2_i1|m.3155	m.3155	 mediator of RNA polymerase II transcription subunit 8 [MED8] (m.3155)	K15129	MED8	 mediator of RNA polymerase II transcription subunit 8		93						K15129			A0A2B4SMQ0	Mediator of RNA polymerase II transcription subunit 8 (Mediator complex subunit 8)		mediator complex [GO:0016592]; transcription coregulator activity [GO:0003712]; regulation of transcription by RNA polymerase II [GO:0006357]	regulation of transcription by RNA polymerase II [GO:0006357]
lcl|c213638_g1_i1|m.3158	m.3158	NudC domain-containing protein 2* [] (m.3158)					131									A0A2B4S4V5	NudC domain-containing protein 2			
lcl|c213677_g1_i4|m.3168	m.3168	* [] (m.3168)					297													
lcl|c213681_g2_i1|m.3169	m.3169	Uncharacterized protein** [] (m.3169)					37									A0A3M6TMR2	Uncharacterized protein			
lcl|c213742_g1_i10|m.3190	m.3190	 mucin-5AC* [MUC5AC] (m.3190)					2	K21125	MUC5AC	 mucin-5AC	1		K21125		IL-17 signaling pathway	A0A3M6TZC9	Uncharacterized protein		extracellular region [GO:0005576]	
lcl|c213743_g5_i1|m.3191	m.3191	 signal peptidase I  [SEC11] (m.3191)	K13280	SEC11	 signal peptidase I 	[EC:3.4.21.89]	209						K13280	Protein export		A0A2B4RKY6	Signal peptidase complex catalytic subunit SEC11 (EC 3.4.21.89)		endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; serine-type peptidase activity [GO:0008236]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; signal peptide processing [GO:0006465]	signal peptide processing [GO:0006465]
lcl|c213757_g3_i2|m.3199	m.3199	 programmed cell death protein 6 [PDCD6] (m.3199)	K23902	PDCD6	 programmed cell death protein 6		124						K23902			A0A3M6UWP5	Uncharacterized protein	"CA_BIND 19..30;  /evidence=""ECO:0000256|PROSITE-ProRule:PRU00448""; CA_BIND 56..67;  /evidence=""ECO:0000256|PROSITE-ProRule:PRU00448""; CA_BIND 86..97;  /evidence=""ECO:0000256|PROSITE-ProRule:PRU00448"""	calcium ion binding [GO:0005509]	
lcl|c213783_g1_i1|m.3203	m.3203	 AP-3 complex subunit mu [AP3M] (m.3203)	K12398	AP3M	 AP-3 complex subunit mu		430						K12398	Lysosome		A0A2B4SKF5	AP-3 complex subunit mu-1		clathrin adaptor complex [GO:0030131]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]	intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]
lcl|c213826_g1_i1|m.3216	m.3216	 oligosaccharyltransferase complex subunit gamma [OST3] (m.3216)	K12669	OST3	 oligosaccharyltransferase complex subunit gamma		205						K12669	"Protein processing in endoplasmic reticulum, N-Glycan biosynthesis, Various types of N-glycan biosynthesis, Metabolic pathways"		A0A2B4T0L4	Magnesium transporter protein 1		integral component of membrane [GO:0016021]; sarcoglycan complex [GO:0016012]	
lcl|c213837_g2_i3|m.3220	m.3220	 p21-activated kinase 3  [PAK3] (m.3220)	K05733	PAK3	 p21-activated kinase 3 	[EC:2.7.11.1]	137						K05733	"Ras signaling pathway, Axon guidance, Focal adhesion, Regulation of actin cytoskeleton, ErbB signaling pathway, T cell receptor signaling pathway, Pathogenic Escherichia coli infection, Salmonella infection, Human immunodeficiency virus 1 infection, Renal cell carcinoma"		A0A2B4RIQ6	Serine/threonine-protein kinase PAK 3		ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	
lcl|c213837_g2_i4|m.3221	m.3221	* [] (m.3221)		PAK3	 p21-activated kinase 3 	[EC:2.7.11.1]	11	K04409			6		K05733			A0A3M6UD50	Non-specific serine/threonine protein kinase (EC 2.7.11.1)		ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	
lcl|c213844_g3_i2|m.3224	m.3224	 tyrosine-protein phosphatase non-receptor type 1  [PTPN1] (m.3224)	K05696	PTPN1	 tyrosine-protein phosphatase non-receptor type 1 	[EC:3.1.3.48]	98						K05696	"Adherens junction, Insulin signaling pathway, Insulin resistance"						
lcl|c213850_g3_i2|m.3229	m.3229	Oncoprotein-induced transcript 3 protein* [] (m.3229)					38									A0A2B4SEW0	Oncoprotein-induced transcript 3 protein		hydrolase activity [GO:0016787]; zinc ion binding [GO:0008270]	
lcl|c213850_g4_i1|m.3231	m.3231	 epidermal growth factor receptor substrate 15* [EPS15] (m.3231)					18	K12472	EPS15	 epidermal growth factor receptor substrate 15	1		K12472		Endocytosis	A0A3M6TDM5	B box-type domain-containing protein		zinc ion binding [GO:0008270]	
lcl|c213874_g5_i4|m.3261	m.3261	 katanin p60 ATPase-containing subunit A1  [KATNA1] (m.3261)	K07767	KATNA1	 katanin p60 ATPase-containing subunit A1 	[EC:5.6.1.1]	327						K07767			A0A3M6UPG7	Katanin p60 ATPase-containing subunit A1 (Katanin p60 subunit A1) (EC 5.6.1.1) (p60 katanin)		centrosome [GO:0005813]; cytoplasm [GO:0005737]; microtubule [GO:0005874]; spindle pole [GO:0000922]; ATP binding [GO:0005524]; isomerase activity [GO:0016853]; microtubule binding [GO:0008017]; microtubule-severing ATPase activity [GO:0008568]; cell cycle [GO:0007049]; cell division [GO:0051301]	cell cycle [GO:0007049]; cell division [GO:0051301]
lcl|c213886_g7_i2|m.3271	m.3271	Fibropellin-1* [] (m.3271)					168									A0A2B4RJY5	Fibropellin-1		calcium ion binding [GO:0005509]	
lcl|c213886_g9_i1|m.3273	m.3273	 versican core protein* [VCAN] (m.3273)					8	K06793	VCAN	 versican core protein	1		K06793		Cell adhesion molecules	A0A2B4R8S5	von Willebrand factor D and EGF domain-containing protein		integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	
lcl|c213888_g2_i1|m.3274	m.3274	" collagen, type XXII, alpha* [COL22A] (m.3274)"					7	K16630	COL22A	" collagen, type XXII, alpha"	4		K16630		Protein digestion and absorption	A0A2B4SRB2	Transmembrane cell adhesion receptor mua-3		integral component of membrane [GO:0016021]	
lcl|c213891_g2_i1|m.3276	m.3276	 TP53 regulating kinase and related kinases  [TP53RK] (m.3276)	K08851	TP53RK	 TP53 regulating kinase and related kinases 	[EC:2.7.11.1]	140						K08851			A0A3M6U7Y8	Protein kinase domain-containing protein		ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	
lcl|c213912_g1_i5|m.3283	m.3283	 adenylosuccinate synthase  [purA] (m.3283)	K01939	purA	 adenylosuccinate synthase 	[EC:6.3.4.4]	140						K01939	"Purine metabolism, Alanine, aspartate and glutamate metabolism, Metabolic pathways"		A0A2B4S6Y4	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)		cytoplasm [GO:0005737]; adenylosuccinate synthase activity [GO:0004019]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; 'de novo' AMP biosynthetic process [GO:0044208]	'de novo' AMP biosynthetic process [GO:0044208]
lcl|c213946_g11_i4|m.3301	m.3301	* [] (m.3301)		HK	 hexokinase 	[EC:2.7.1.1]	140	K12407			18		K00844			A0A3M6U1H0	Uncharacterized protein		cell [GO:0005623]; ATP binding [GO:0005524]; glucose binding [GO:0005536]; hexokinase activity [GO:0004396]; cellular glucose homeostasis [GO:0001678]; glycolytic process [GO:0006096]	cellular glucose homeostasis [GO:0001678]; glycolytic process [GO:0006096]
lcl|c214028_g2_i1|m.3329	m.3329	LEM domain-containing protein (Fragment)* [] (m.3329)														A0A3M6UU39	LEM domain-containing protein (Fragment)		integral component of membrane [GO:0016021]	
lcl|c214032_g1_i4|m.3331	m.3331	 small subunit ribosomal protein S27Ae [RP-S27Ae] (m.3331)	K02977	RP-S27Ae	 small subunit ribosomal protein S27Ae		130						K02977	"Ubiquitin mediated proteolysis, Ribosome, Mitophagy - animal, Parkinson disease, Shigellosis, Kaposi sarcoma-associated herpesvirus infection"		A7RJ25	Predicted protein		cytoplasm [GO:0005737]; cytosolic small ribosomal subunit [GO:0022627]; nucleus [GO:0005634]; small ribosomal subunit [GO:0015935]; protein tag [GO:0031386]; structural constituent of ribosome [GO:0003735]; ubiquitin protein ligase binding [GO:0031625]; modification-dependent protein catabolic process [GO:0019941]; protein ubiquitination [GO:0016567]; translation [GO:0006412]	modification-dependent protein catabolic process [GO:0019941]; protein ubiquitination [GO:0016567]; translation [GO:0006412]
lcl|c214067_g1_i1|m.3351	m.3351	 ubiquitin-conjugating enzyme E2 M [UBE2M] (m.3351)	K10579	UBE2M	 ubiquitin-conjugating enzyme E2 M		13						K10579	Ubiquitin mediated proteolysis		A7SLW2	Predicted protein		ATP binding [GO:0005524]; NEDD8 transferase activity [GO:0019788]; ubiquitin conjugating enzyme activity [GO:0061631]; protein neddylation [GO:0045116]	protein neddylation [GO:0045116]
lcl|c214108_g4_i4|m.3369	m.3369	 F-type H+-transporting ATPase subunit d [ATPeF0D] (m.3369)	K02138	ATPeF0D	 F-type H+-transporting ATPase subunit d		61						K02138	"Oxidative phosphorylation, Thermogenesis, Metabolic pathways, Alzheimer disease, Parkinson disease, Amyotrophic lateral sclerosis, Huntington disease"		A0A3M6TAV5	"ATP synthase subunit d, mitochondrial"		"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; proton transmembrane transporter activity [GO:0015078]; ATP synthesis coupled proton transport [GO:0015986]"	ATP synthesis coupled proton transport [GO:0015986]
lcl|c214118_g1_i2|m.3372	m.3372	 solute carrier family 8 (sodium/calcium exchanger)* [SLC8A] (m.3372)					26	K05849	SLC8A	 solute carrier family 8 (sodium/calcium exchanger)	1		K05849		"Protein digestion and absorption, Calcium signaling pathway, cGMP-PKG signaling pathway, Cardiac muscle contraction, Adrenergic signaling in cardiomyocytes, Apelin signaling pathway, Olfactory transduction, Endocrine and other factor-regulated calcium reabsorption, Mineral absorption, Hypertrophic cardiomyopathy, Arrhythmogenic right ventricular cardiomyopathy, Dilated cardiomyopathy"	A0A3M6V5A1	Uncharacterized protein			
lcl|c214162_g1_i3|m.3378	m.3378	 amidase [EC:3.5.1.4]* [E3.5.1.4] (m.3378)					2	K01426	E3.5.1.4	 amidase [EC:3.5.1.4]	1		K01426		"Arginine and proline metabolism, Phenylalanine metabolism, Tryptophan metabolism, Aminobenzoate degradation, Styrene degradation, Metabolic pathways, Microbial metabolism in diverse environments"	A0A3M6UXM0	Uncharacterized protein (Fragment)			
lcl|c214164_g1_i8|m.3381	m.3381	 nuclear cap-binding protein subunit 1 [NCBP1] (m.3381)	K12882	NCBP1	 nuclear cap-binding protein subunit 1		364						K12882	"RNA transport, Spliceosome, mRNA surveillance pathway, Amyotrophic lateral sclerosis"						
lcl|c214189_g1_i1|m.3388	m.3388	 ADP-ribosylation factor 6 [ARF6] (m.3388)	K07941	ARF6	 ADP-ribosylation factor 6		110						K07941	"Endocytosis, Ras signaling pathway, Fc gamma R-mediated phagocytosis, Phospholipase D signaling pathway, Pathogenic Escherichia coli infection, Shigellosis, Salmonella infection, Yersinia infection"		A0A2B4S5E4	ADP-ribosylation factor 6		GTP binding [GO:0005525]; GTPase activity [GO:0003924]	
lcl|c214211_g3_i3|m.3396	m.3396	Uncharacterized protein (Fragment)** [] (m.3396)														A0A3M6UFS5	Uncharacterized protein (Fragment)			
lcl|c214220_g2_i3|m.3397	m.3397	Uncharacterized protein (Fragment)** [] (m.3397)														A0A3M6TTV0	Uncharacterized protein (Fragment)			
lcl|c214228_g4_i6|m.3409	m.3409	 exportin-2 (importin alpha re-exporter) [CSE1] (m.3409)	K18423	CSE1	 exportin-2 (importin alpha re-exporter)		641						K18423	Salmonella infection						
lcl|c214229_g1_i1|m.3410	m.3410	* [] (m.3410)					10	K20051			1		K20051			A0A3M6UFC3	Uncharacterized protein			
lcl|c214242_g1_i2|m.3413	m.3413	 DNA ligase (NAD+) [EC:6.5.1.2]* [E6.5.1.2] (m.3413)					56	K01972	E6.5.1.2	 DNA ligase (NAD+) [EC:6.5.1.2]	1		K01972		"DNA replication, Base excision repair, Nucleotide excision repair, Mismatch repair"	A0A2B4S9U9	Uncharacterized protein			
lcl|c214244_g2_i4|m.3420	m.3420	 protein crumbs* [CRB] (m.3420)					9	K16681	CRB	 protein crumbs	2		K16681		"Hippo signaling pathway, Hippo signaling pathway - fly"					
lcl|c214261_g2_i4|m.3427	m.3427	 V-type H+-transporting ATPase subunit D [ATPeV1D] (m.3427)	K02149	ATPeV1D	 V-type H+-transporting ATPase subunit D		174						K02149	"Oxidative phosphorylation, Phagosome, mTOR signaling pathway, Metabolic pathways, Synaptic vesicle cycle, Collecting duct acid secretion, Vibrio cholerae infection, Epithelial cell signaling in Helicobacter pylori infection, Human papillomavirus infection, Rheumatoid arthritis"		A0A3M6T4D6	Uncharacterized protein		ATPase-coupled transmembrane transporter activity [GO:0042626]	
lcl|c214280_g2_i1|m.3437	m.3437	SCP domain-containing protein* [] (m.3437)					20									A0A3M6U824	SCP domain-containing protein		extracellular region [GO:0005576]	
lcl|c214304_g2_i1|m.3443	m.3443	Predicted protein* [] (m.3443)					52									A7SFD3	Predicted protein			
lcl|c214309_g2_i1|m.3450	m.3450	* [] (m.3450)					26	K08136			2		K08136			A0A2B4RUV5	Testican-1	"CA_BIND 163..174;  /evidence=""ECO:0000256|PROSITE-ProRule:PRU00448"""	calcium ion binding [GO:0005509]	
lcl|c214319_g7_i2|m.3452	m.3452	 small subunit ribosomal protein S11e [RP-S11e] (m.3452)	K02949	RP-S11e	 small subunit ribosomal protein S11e		126						K02949	Ribosome		A0A3M6UVM8	Ribosomal_S17_N domain-containing protein		ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]
lcl|c214356_g7_i5|m.3463	m.3463	 26S proteasome regulatory subunit N3 [PSMD3] (m.3463)	K03033	PSMD3	 26S proteasome regulatory subunit N3		345						K03033	"Proteasome, Epstein-Barr virus infection, Alzheimer disease, Parkinson disease, Amyotrophic lateral sclerosis, Huntington disease, Spinocerebellar ataxia"						
lcl|c214362_g1_i1|m.3464	m.3464	 actin-binding LIM protein [ABLIM] (m.3464)	K07520	ABLIM	 actin-binding LIM protein		61						K07520	Axon guidance		A0A3M6US26	Uncharacterized protein		actin binding [GO:0003779]; metal ion binding [GO:0046872]; cytoskeleton organization [GO:0007010]	cytoskeleton organization [GO:0007010]
lcl|c214397_g6_i4|m.3476	m.3476	 electron transfer flavoprotein beta subunit [fixA] (m.3476)	K03521	fixA	 electron transfer flavoprotein beta subunit		184						K03521							
lcl|c214403_g1_i1|m.3480	m.3480	 mediator of RNA polymerase II transcription subunit 31 [MED31] (m.3480)	K15153	MED31	 mediator of RNA polymerase II transcription subunit 31		78						K15153			A0A3M6U0L1	Mediator of RNA polymerase II transcription subunit 31		"mediator complex [GO:0016592]; transcription coregulator activity [GO:0003712]; regulation of transcription, DNA-templated [GO:0006355]"	"regulation of transcription, DNA-templated [GO:0006355]"
lcl|c214418_g2_i7|m.3489	m.3489	 DNA-directed RNA polymerase II subunit RPB3 [RPB3] (m.3489)	K03011	RPB3	 DNA-directed RNA polymerase II subunit RPB3		337						K03011	"RNA polymerase, Huntington disease"		A0A2B4S7D0	DNA-directed RNA polymerase II subunit RPB3		"DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; protein dimerization activity [GO:0046983]; transcription, DNA-templated [GO:0006351]"	"transcription, DNA-templated [GO:0006351]"
lcl|c214452_g3_i2|m.3499	m.3499	 coagulation factor IX (Christmas factor) [EC:3.4.21.22]* [F9] (m.3499)					8	K01321	F9	 coagulation factor IX (Christmas factor) [EC:3.4.21.22]	7		K01321		Complement and coagulation cascades	A0A2B4RAA3	Complement factor B		extracellular region [GO:0005576]; serine-type endopeptidase activity [GO:0004252]; complement activation [GO:0006956]	complement activation [GO:0006956]
lcl|c214499_g2_i2|m.3512	m.3512	 glutathione S-transferase  [GST] (m.3512)	K00799	GST	 glutathione S-transferase 	[EC:2.5.1.18]	37						K00799	"Glutathione metabolism, Chemical carcinogenesis, Metabolism of xenobiotics by cytochrome P450, Drug metabolism - cytochrome P450, Drug metabolism - other enzymes, Metabolic pathways, Platinum drug resistance, Longevity regulating pathway - worm, Pathways in cancer, Hepatocellular carcinoma, Fluid shear stress and atherosclerosis"						
lcl|c214530_g4_i1|m.3518	m.3518	* [] (m.3518)		TPM1	 tropomyosin 1		12	K09290			3		K10373			A0A3M6TAZ4	Uncharacterized protein			
